Location ID,Location Name,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Service / Population Group,Key Question,Latest Rating,CQC Rating - Safe,CQC Rating - Effective,CQC Rating - Caring,CQC Rating - Responsive,CQC Rating - Well-Led,Publication Date,Report Type,URL,Provider ID,Provider Name,Brand ID,Brand Name
1-112968810,St Hugh's Hospital ,Independent,Hospitals ,Peaks Lane , ,Grimsby ,DN32 9RP,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Inadequate,31/05/2019,Location,http://www.cqc.org.uk/location/1-112968810,1-101635419,The Healthcare Management Trust ,,-
1-114202293,The London Welbeck Hospital ,Independent,Hospitals ,27 Welbeck Street , ,London ,W1G 8EN,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101728704,Welbeck Healthcare Limited ,,-
1-114202635,King Edward VII's Hospital ,Independent,Hospitals ,5-10 Beaumont Street , ,London ,W1G 6AA,Overall,Overall,Good,Good,Good,Good,Good,Good,09/04/2019,Location,http://www.cqc.org.uk/location/1-114202635,1-101729255,King Edward VII's Hospital Sister Agnes ,,-
1-114218999,David Fraser Badenoch - Diagnostics ,Independent,Hospitals ,101 Harley Street ,Westminster ,London ,W1G 6AH,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,27/03/2019,Location,http://www.cqc.org.uk/location/1-114218999,1-101634405,David Fraser Badenoch ,,-
1-114617347,The London Clinic ,Independent,Hospitals ,20 Devonshire Place , ,London ,W1G 6BW,Overall,Overall,Good,Good,Good,Good,Good,Good,17/11/2017,Location,http://www.cqc.org.uk/location/1-114617347,1-101728696,Trustees of The London Clinic Limited ,,-
1-114621322,Fairfield Independent Hospital ,Independent,Hospitals ,Crank Road ,Crank ,St Helens ,WA11 7RS,Overall,Overall,Good,Good,Good,Good,Good,Good,25/01/2017,Location,http://www.cqc.org.uk/location/1-114621322,1-101725752,Guy Pilkington Memorial Home Limited ,,-
1-1150357230,Clinical Diagnostic Services ,Independent,Hospitals ,BMI The Garden Hospital ,46-50 Sunny Gardens Road ,London ,NW4 1RP,Overall,Overall,Requires improvement,Requires improvement,Not Yet Rated,Good,Good,Requires improvement,18/02/2019,Location,http://www.cqc.org.uk/location/1-1150357230,1-149412664,Clinical Diagnostic Services LLP ,,BRAND Clinical Diagnostic Services 
1-1150397125,Clinical Diagnostic Services ,Independent,Hospitals ,104 Harley Street , ,London ,W1G 7JD,Overall,Overall,Requires improvement,Requires improvement,Not Yet Rated,Good,Good,Requires improvement,18/02/2019,Location,http://www.cqc.org.uk/location/1-1150397125,1-149412664,Clinical Diagnostic Services LLP ,,BRAND Clinical Diagnostic Services 
1-115172463,The Foscote Private Hospital ,Independent,Hospitals ,2 Foscote Rise , ,Banbury ,OX16 9XP,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101728870,Foscote Court (Banbury) Trust Limited ,,-
1-115480780,Hospital of St John & St Elizabeth ,Independent,Hospitals ,60 Grove End Road ,St John's Wood ,London ,NW8 9NH,Overall,Overall,Good,Good,Good,Good,Good,Good,07/06/2017,Location,http://www.cqc.org.uk/location/1-115480780,1-101728712,The Hospital of St John and St Elizabeth ,,-
1-115574313,Nuffield Health Bournemouth Hospital ,Independent,Hospitals ,67-71 Lansdowne Road , ,Bournemouth ,BH1 1RW,Overall,Overall,Requires improvement,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,01/12/2016,Location,http://www.cqc.org.uk/location/1-115574313,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574336,Nuffield Health Brentwood Hospital ,Independent,Hospitals ,Shenfield Road , ,Brentwood ,CM15 8EH,Overall,Overall,Good,Outstanding,Good,Good,Good,Good,14/06/2017,Location,http://www.cqc.org.uk/location/1-115574336,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574357,Nuffield Health Brighton Hospital ,Independent,Hospitals ,Warren Road ,Woodingdean ,Brighton ,BN2 6DX,Overall,Overall,Good,Good,Good,Good,Good,Good,08/02/2018,Location,http://www.cqc.org.uk/location/1-115574357,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574398,Nuffield Health Cambridge Hospital ,Independent,Hospitals ,4 Trumpington Road , ,Cambridge ,CB2 8AF,Overall,Overall,Outstanding,Good,Good,Outstanding,Outstanding,Outstanding,09/11/2016,Location,http://www.cqc.org.uk/location/1-115574398,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574419,Nuffield Health Cheltenham Hospital ,Independent,Hospitals ,Hatherley Lane , ,Cheltenham ,GL51 6SY,Overall,Overall,Good,Good,Good,Good,Good,Good,29/07/2016,Location,http://www.cqc.org.uk/location/1-115574419,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574439,Nuffield Health Chichester Hospital ,Independent,Hospitals ,78 Broyle Road , ,Chichester ,PO19 6WB,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,11/11/2016,Location,http://www.cqc.org.uk/location/1-115574439,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574458,Nuffield Health Derby Hospital ,Independent,Hospitals ,Rykneld Road ,Littleover ,Derby ,DE23 4SN,Overall,Overall,Good,Good,Good,Good,Good,Good,06/05/2016,Location,http://www.cqc.org.uk/location/1-115574458,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574477,Nuffield Health Exeter Hospital ,Independent,Hospitals ,Wonford Road , ,Exeter ,EX2 4UG,Overall,Overall,Good,Good,Good,Good,Good,Good,26/10/2016,Location,http://www.cqc.org.uk/location/1-115574477,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574498,Nuffield Health Guildford Hospital ,Independent,Hospitals ,Stirling Road , ,Guildford ,GU2 7RF,Overall,Overall,Good,Good,Good,Good,Good,Good,18/07/2019,Location,http://www.cqc.org.uk/location/1-115574498,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574517,Nuffield Health Haywards Heath Hospital ,Independent,Hospitals ,5 Burrell Road , ,Haywards Heath ,RH16 1UD,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,24/03/2017,Location,http://www.cqc.org.uk/location/1-115574517,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574537,Nuffield Health Hereford Hospital ,Independent,Hospitals ,Venns Lane , ,Hereford ,HR1 1DF,Overall,Overall,Good,Good,Good,Outstanding,Good,Good,17/03/2017,Location,http://www.cqc.org.uk/location/1-115574537,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574557,Nuffield Health Ipswich Hospital ,Independent,Hospitals ,Foxhall Road , ,Ipswich ,IP4 5SW,Overall,Overall,Good,Requires improvement,Outstanding,Outstanding,Good,Good,30/11/2016,Location,http://www.cqc.org.uk/location/1-115574557,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574578,Nuffield Health Leeds Hospital ,Independent,Hospitals ,2 Leighton Street , ,Leeds ,LS1 3EB,Overall,Overall,Outstanding,Good,Good,Outstanding,Outstanding,Good,22/06/2017,Location,http://www.cqc.org.uk/location/1-115574578,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574597,Nuffield Health Leicester Hospital ,Independent,Hospitals ,Scraptoft Lane , ,Leicester ,LE5 1HY,Overall,Overall,Good,Good,Good,Good,Good,Good,14/03/2017,Location,http://www.cqc.org.uk/location/1-115574597,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574618,Nuffield Health Newcastle-upon-Tyne Hospital ,Independent,Hospitals ,Clayton Road , ,Newcastle upon Tyne ,NE2 1JP,Overall,Overall,Good,Good,Good,Good,Good,Good,17/08/2016,Location,http://www.cqc.org.uk/location/1-115574618,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574639,Nuffield Health North Staffordshire Hospital ,Independent,Hospitals ,Clayton Road , ,Newcastle ,ST5 4DB,Overall,Overall,Good,Good,Good,Good,Good,Good,31/08/2018,Location,http://www.cqc.org.uk/location/1-115574639,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574658,Nuffield Health Plymouth Hospital ,Independent,Hospitals ,Derriford Road , ,Plymouth ,PL6 8BG,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,04/11/2015,Location,http://www.cqc.org.uk/location/1-115574658,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574678,Nuffield Health Shrewsbury Hospital ,Independent,Hospitals ,Longden Road , ,Shrewsbury ,SY3 9DP,Overall,Overall,Good,Good,Good,Good,Good,Good,30/10/2018,Location,http://www.cqc.org.uk/location/1-115574678,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574698,Nuffield Health Taunton Hospital ,Independent,Hospitals ,Staplegrove Elm , ,Taunton ,TA2 6AN,Overall,Overall,Good,Good,Good,Good,Good,Outstanding,30/11/2016,Location,http://www.cqc.org.uk/location/1-115574698,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574718,Nuffield Health Tees Hospital ,Independent,Hospitals ,Junction Road ,Norton ,Stockton on Tees ,TS20 1PX,Overall,Overall,Outstanding,Good,Good,Outstanding,Outstanding,Outstanding,12/10/2017,Location,http://www.cqc.org.uk/location/1-115574718,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574737,Nuffield Health The Grosvenor Hospital Chester ,Independent,Hospitals ,Wrexham Road , ,Chester ,CH4 7QP,Overall,Overall,Good,Good,Good,Good,Good,Good,23/12/2016,Location,http://www.cqc.org.uk/location/1-115574737,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574757,Nuffield Health The Manor Hospital Oxford ,Independent,Hospitals ,Beech Road , ,Oxford ,OX3 7RP,Overall,Overall,Good,Good,Good,Good,Good,Good,02/11/2016,Location,http://www.cqc.org.uk/location/1-115574757,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574778,Nuffield Health Tunbridge Wells Hospital ,Independent,Hospitals ,Kingswood Road , ,Tunbridge Wells ,TN2 4UL,Overall,Overall,Good,Good,Good,Good,Good,Good,11/07/2017,Location,http://www.cqc.org.uk/location/1-115574778,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574798,Nuffield Health Warwickshire Hospital ,Independent,Hospitals ,The Chase ,Old Milverton Lane ,Leamington Spa ,CV32 6RW,Overall,Overall,Good,Good,Requires improvement,Good,Good,Good,10/03/2017,Location,http://www.cqc.org.uk/location/1-115574798,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574818,Nuffield Health Wessex Hospital ,Independent,Hospitals ,Winchester Road ,Chandlers Ford ,Eastleigh ,SO53 2DW,Overall,Overall,Good,Good,Good,Good,Good,Good,21/03/2016,Location,http://www.cqc.org.uk/location/1-115574818,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574838,Nuffield Health Woking Hospital ,Independent,Hospitals ,Shores Road , ,Woking ,GU21 4BY,Overall,Overall,Good,Good,Good,Good,Good,Good,04/08/2017,Location,http://www.cqc.org.uk/location/1-115574838,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574857,Nuffield Health Wolverhampton Hospital ,Independent,Hospitals ,Wood Road ,Tettenhall ,Wolverhampton ,WV6 8LE,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,27/04/2017,Location,http://www.cqc.org.uk/location/1-115574857,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115574877,Nuffield Health York Hospital ,Independent,Hospitals ,Haxby Road , ,York ,YO31 8TA,Overall,Overall,Good,Good,Good,Good,Good,Good,14/06/2017,Location,http://www.cqc.org.uk/location/1-115574877,1-102643516,Nuffield Health ,BD156,BRAND Nuffield Health 
1-115824181,Queen Anne Street Medical Centre Limited ,Independent,Hospitals ,18-22 Queen Anne Street , ,London ,W1G 8HU,Overall,Overall,Requires improvement,Requires improvement,Requires improvement,Good,Good,Requires improvement,04/08/2017,Location,http://www.cqc.org.uk/location/1-115824181,1-101726553,Queen Anne Street Medical Centre Limited ,,-
1-115971045,Vista Diagnostics Limited ,Independent,Hospitals ,"1st Floor, Capital Tower ",91 Waterloo Road ,London ,SE1 8RT,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,20/09/2019,Location,http://www.cqc.org.uk/location/1-115971045,1-101727649,Vista Diagnostics Limited ,BD289,BRAND Inhealth Limited 
1-117088907,Wimpole Aesthetic Centre ,Independent,Hospitals ,48 Wimpole Street ,Marylebone ,London ,W1G 8SF,Overall,Overall,Inadequate,Inadequate,Requires improvement,Not Yet Rated,Requires improvement,Inadequate,01/02/2019,Location,http://www.cqc.org.uk/location/1-117088907,1-101727036,Wimpole Aesthetic (Medical) Limited ,,-
1-117350917,Royal Hospital for Neuro-Disability ,Independent,Hospitals ,West Hill ,Putney ,London ,SW15 3SW,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,21/09/2017,Location,http://www.cqc.org.uk/location/1-117350917,1-101725000,Royal Hospital for Neuro-Disability ,,-
1-118024670,Benenden Hospital ,Independent,Hospitals ,Goddard's Green Road , ,Benenden ,TN17 4AX,Overall,Overall,Outstanding,Good,Good,Outstanding,Outstanding,Outstanding,11/05/2017,Location,http://www.cqc.org.uk/location/1-118024670,1-101635529,The Benenden Hospital Trust ,,-
1-118323084,The Nottingham Road Clinic ,Independent,Hospitals ,195 Nottingham Road , ,Mansfield ,NG18 4AA,Overall,Overall,Good,Good,Good,Good,Good,Good,18/01/2019,Location,http://www.cqc.org.uk/location/1-118323084,1-101725794,Aligie Limited ,,-
1-118339155,The Whiteley Clinic Limited ,Independent,Hospitals ,"1 Stirling House, Stirling Road ",Surrey Research Park ,Guildford ,GU2 7RF,Overall,Overall,Outstanding,Good,Not Yet Rated,Good,Outstanding,Outstanding,11/01/2017,Location,http://www.cqc.org.uk/location/1-118339155,1-101725934,The Whiteley Clinic Limited ,,BRAND The Whiteley Clinic 
1-118576946,Optegra Surrey Eye Hospital ,Independent,Hospitals ,10 Alan Turing Road ,The Surrey Research Park ,Guildford ,GU2 7YF,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,16/02/2018,Location,http://www.cqc.org.uk/location/1-118576946,1-101725155,Optegra UK Limited ,,BRAND Optegra 
1-118593281,Tetbury Hospital ,Independent,Hospitals ,Malmesbury Road , ,Tetbury ,GL8 8XB,Overall,Overall,Requires improvement,Requires improvement,Requires improvement,Good,Good,Good,29/03/2017,Location,http://www.cqc.org.uk/location/1-118593281,1-101635276,Tetbury Hospital Trust Limited ,,-
1-118822952,Spencer Private Hospital ,Independent,Hospitals ,Ramsgate Road , ,Margate ,CT9 4BG,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,13/10/2015,Location,http://www.cqc.org.uk/location/1-118822952,1-101728786,East Kent Medical Services Limited ,,BRAND East Kent Medical Services 
1-118822975,Spencer Private Hospitals ,Independent,Hospitals ,Kennington Road ,Willesborough ,Ashford ,TN24 0LZ,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,13/10/2015,Location,http://www.cqc.org.uk/location/1-118822975,1-101728786,East Kent Medical Services Limited ,,BRAND East Kent Medical Services 
1-119269999,Circle Hospital (Bath) Ltd ,Independent,Hospitals ,Foxcote Avenue ,"Bath Business Park, Peasedown St John ",Bath ,BA2 8SQ,Overall,Overall,Good,Good,Good,Outstanding,Good,Good,24/04/2017,Location,http://www.cqc.org.uk/location/1-119269999,1-101727364,Circle Hospital (Bath) Ltd ,BD210,BRAND Circle Healthcare Ltd 
1-1194929316,SpaMedica Newton-le-Willows (Pall Mall Medical) ,Independent,Hospitals ,1 Belvedere Road ,Newton le Willows , ,WA12 0JJ,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101727990,SpaMedica ,,BRAND SpaMedica 
1-1202558282,Greater Lancashire Hospital ,Independent,Hospitals ,Millennium City Park ,Ribbleton ,Preston ,PR2 5BW,Overall,Overall,Good,Good,Good,Outstanding,Good,Good,25/04/2017,Location,http://www.cqc.org.uk/location/1-1202558282,1-585407111,Bespoke Healthcare Limited ,,-
1-120437920,HCA Healthcare UK Outpatients & Diagnostics Centre at Golders Green ,Independent,Hospitals ,Roman House ,296 Golders Green Road ,London ,NW11 9PY,Overall,Overall,Good,Good,Not Yet Rated,Good,Outstanding,Good,05/03/2019,Location,http://www.cqc.org.uk/location/1-120437920,1-101727556,Wellington Diagnostic Services LLP ,BD342,BRAND HCA Hospitals 
1-120587279,The Nottingham NHS Treatment Centre ,Independent,Hospitals ,Lister Road , ,Nottingham ,NG7 2FT,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101725900,Circle Nottingham Limited ,BD210,BRAND Circle Healthcare Ltd 
1-120632398,Midland Eye ,Independent,Hospitals ,50 Lode Lane , ,Solihull ,B91 2AW,Overall,Overall,Good,Good,Good,Good,Good,Outstanding,28/03/2018,Location,http://www.cqc.org.uk/location/1-120632398,1-101725518,Eye-Docs Limited ,,-
1-120823913,Cambridge Heart Clinic ,Independent,Hospitals ,Addenbrookes Hospital ,Hills Road ,Cambridge ,CB2 0QQ,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,15/11/2016,Location,http://www.cqc.org.uk/location/1-120823913,1-101725727,Regent's Park Heart Clinics Ltd ,,-
1-121538312,St Andrew's Healthcare - Essex ,Independent,Hospitals ,Pound Lane ,North Benfleet ,Basildon ,SS12 9JP,Overall,Overall,Good,Requires improvement,Good,Good,Good,Good,18/09/2017,Location,http://www.cqc.org.uk/location/1-121538312,1-102643363,St Andrew's Healthcare ,BD179,BRAND St Andrew's Healthcare 
1-121793213,9 Harley Street Limited ,Independent,Hospitals ,9 Harley Street , ,London ,W1G 9AL,Overall,Overall,Good,Good,Not Yet Rated,Good,Outstanding,Good,17/01/2019,Location,http://www.cqc.org.uk/location/1-121793213,1-101724976,9 Harley Street Limited ,,-
1-1242265519,Chartwell Hospital ,Independent,Hospitals ,1629 London Road , ,Leigh on Sea ,SS9 2SQ,Overall,Overall,Requires improvement,Requires improvement,Not Yet Rated,Good,Good,Requires improvement,07/10/2016,Location,http://www.cqc.org.uk/location/1-1242265519,1-1095774253,Chartwell Private Hospital and Diagnostics Limited ,,-
1-124591046,Lancashire Clinic ,Independent,Hospitals ,15 Church Road ,Lytham ,Lytham St Annes ,FY8 5LH,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-101726303,Mr Ajay Nigam ,,-
1-125650903,SK:N - Bristol Clare Street ,Independent,Hospitals ,13 Clare Street , ,Bristol ,BS1 1XH,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-102643390,Lasercare Clinics (Harrogate) Limited ,BD114,BRAND SK:N Ltd 
1-125650929,SK:N - Guildford St Marys Terrace ,Independent,Hospitals ,1 St Mary's Terrace ,Mill Lane ,Guildford ,GU1 3TZ,Overall,Overall,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,Not Yet Rated,,No Data,,1-102643390,Lasercare Clinics (Harrogate) Limited ,BD114,BRAND SK:N Ltd 
1-125720275,Rochdale Ophthalmology Clinical Assessment and Treatment Service ,Independent,Hospitals ,The Croft Shifa ,Belfield Road ,Rochdale ,OL16 2UP,Overall,Overall,Outstanding,Good,Outstanding,Outstanding,Good,Good,21/04/2017,Location,http://www.cqc.org.uk/location/1-125720275,1-116865921,Care UK Clinical Services Limited ,BD122,BRAND Care UK 
1-126280639,Frenchay Brain Injury Rehabilitation Centre ,Independent,Hospitals ,Frenchay Park Road ,Frenchay ,Bristol ,BS16 1UU,Overall,Overall,Good,Requires improvement,Good,Good,Good,Requires improvement,16/06/2016,Location,http://www.cqc.org.uk/location/1-126280639,1-101727846,Huntercombe Properties (Frenchay) Limited ,BD192,BRAND Four Seasons 
1-126955711,The Wellington Hospital ,Independent,Hospitals ,Wellington Place ,St John's Wood ,London ,NW8 9LE,Overall,Overall,Good,Good,Good,Good,Good,Good,13/02/2017,Location,http://www.cqc.org.uk/location/1-126955711,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955732,The Princess Grace Hospital ,Independent,Hospitals ,42-52 Nottingham Place , ,London ,W1U 5NY,Overall,Overall,Requires improvement,Requires improvement,Good,Good,Good,Requires improvement,23/03/2017,Location,http://www.cqc.org.uk/location/1-126955732,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955771,The Harley Street Clinic ,Independent,Hospitals ,35 Weymouth Street , ,London ,W1G 8BJ,Overall,Overall,Outstanding,Good,Good,Outstanding,Good,Outstanding,04/01/2017,Location,http://www.cqc.org.uk/location/1-126955771,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955790,HCA Healthcare UK at University College Hospital ,Independent,Hospitals ,235 Euston Road , ,London ,NW1 2BU,Overall,Overall,Outstanding,Good,Good,Outstanding,Outstanding,Outstanding,29/06/2017,Location,http://www.cqc.org.uk/location/1-126955790,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955869,Docklands Healthcare ,Independent,Hospitals ,2 Upper Bank Street ,Canary Wharf ,London ,E14 5EE,Overall,Overall,Good,Good,Not Yet Rated,Good,Good,Good,09/05/2019,Location,http://www.cqc.org.uk/location/1-126955869,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955884,The Lister Hospital ,Independent,Hospitals ,Chelsea Bridge Road , ,London ,SW1W 8RH,Overall,Overall,Outstanding,Good,Good,Good,Outstanding,Outstanding,30/06/2017,Location,http://www.cqc.org.uk/location/1-126955884,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955902,The London Bridge Hospital ,Independent,Hospitals ,27 Tooley Street , ,London ,SE1 2PR,Overall,Overall,Outstanding,Good,Good,Good,Outstanding,Outstanding,09/02/2017,Location,http://www.cqc.org.uk/location/1-126955902,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-126955917,The Portland Hospital for Women and Children ,Independent,Hospitals ,"205-209, 214 and 234 Great Portland Street ", ,London ,W1W 5AH,Overall,Overall,Good,Good,Good,Good,Outstanding,Good,19/06/2017,Location,http://www.cqc.org.uk/location/1-126955917,1-101728688,HCA International Limited ,BD342,BRAND HCA Hospitals 
1-127047890,The Priory Highbank Centre ,Independent,Hospitals ,Walmersley House ,Walmersley Road ,Bury ,BL9 5LX,Overall,Overall,Good,Good,Good,Good,Good,Requires improvement,24/05/2019,Location,http://www.cqc.org.uk/location/1-127047890,1-118166439,Priory Rehabilitation Services Limited ,BD144,BRAND Acadia 
