YearMonth,Rolling_Data_Month,Region Code,Data Type,Location ID,Location Name,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total NonAdmitted,95th percentile waiting time (in weeks)
201910,Current Month,Y56,NHS,R1HM0,St Bartholomew's Hospital ,R1H,BARTS HEALTH NHS TRUST,X01,Other,6741,29.7
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery,323,36.4
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_101,Urology,550,36.8
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma & Orthopaedics,1219,35.5
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1077,31.5
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology,692,33.9
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery,730,44.6
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgery,180,40
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery,111,38.5
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery,54,19.2
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_300,General Medicine,39,20.1
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology,676,33.7
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology,1248,29
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology,949,29.5
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_340,Thoracic Medicine,429,42.8
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology,409,34.6
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology,478,22.5
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_430,Geriatric Medicine,71,21.7
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology,1295,27.8
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,C_999,Total,17271,32
201910,Current Month,Y56,NHS,R1HNH,Newham University Hospital ,R1H,BARTS HEALTH NHS TRUST,X01,Other,6741,29.7
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,1949,26.6
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,677,26.3
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,557,27
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1046,38.4
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,267,21.9
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,1300,33.5
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,52,7.2
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,651,26.6
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,960,21
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,806,28.2
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,410,28.2
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,550,28.4
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,290,17.6
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,84,15.9
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,710,43.8
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_999,Total,12280,29.9
201910,Current Month,Y56,NHS,R1K01,Northwick Park Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,1971,26.1
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,1949,26.6
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,677,26.3
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,557,27
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1046,38.4
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,267,21.9
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,1300,33.5
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,52,7.2
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,651,26.6
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,960,21
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,806,28.2
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,410,28.2
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,550,28.4
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,290,17.6
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,84,15.9
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,710,43.8
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_999,Total,12280,29.9
201910,Current Month,Y56,NHS,R1K02,Central Middlesex Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,1971,26.1
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,1949,26.6
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,677,26.3
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,557,27
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1046,38.4
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,267,21.9
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,1300,33.5
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,52,7.2
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,651,26.6
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,960,21
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,806,28.2
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,410,28.2
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,550,28.4
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,290,17.6
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,84,15.9
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,710,43.8
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_999,Total,12280,29.9
201910,Current Month,Y56,NHS,R1K03,St Mark's Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,1971,26.1
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,1949,26.6
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,677,26.3
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,557,27
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1046,38.4
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,267,21.9
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,1300,33.5
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,52,7.2
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,651,26.6
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,960,21
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,806,28.2
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,410,28.2
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,550,28.4
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,290,17.6
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,84,15.9
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,710,43.8
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_999,Total,12280,29.9
201910,Current Month,Y56,NHS,R1K04,Ealing Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,1971,26.1
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_100,General Surgery,1949,26.6
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_101,Urology,677,26.3
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_110,Trauma & Orthopaedics,557,27
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",1046,38.4
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_130,Ophthalmology,267,21.9
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_140,Oral Surgery,1300,33.5
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_300,General Medicine,52,7.2
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,Gastroenterology,651,26.6
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,Cardiology,960,21
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_330,Dermatology,806,28.2
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_340,Thoracic Medicine,410,28.2
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_400,Neurology,550,28.4
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_410,Rheumatology,290,17.6
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_430,Geriatric Medicine,84,15.9
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_502,Gynaecology,710,43.8
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_999,Total,12280,29.9
201910,Current Month,Y56,NHS,R1K68,Clayponds Hospital ,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,X01,Other,1971,26.1
201910,Current Month,Y56,NHS,RAN01,The Royal National Orthopaedic Hospital (Stanmore) ,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,945,26.5
201910,Current Month,Y56,NHS,RAN01,The Royal National Orthopaedic Hospital (Stanmore) ,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_410,Rheumatology,47,28
