YearMonth,Rolling_Data_Month,Location ID,Location Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name,Total Waiting List,Number waiting 6+ Weeks,Number waiting 13+ Weeks,% waiting 6+ weeks
201912,Current Month,RDU50,Wexham Park Hospital,RDU,Frimley Health NHS Foundation Trust ,13,Flexi Sigmoidoscopy,331,5,0,1.51
201912,Current Month,RL403,New Cross Hospital,RL4,The Royal Wolverhampton NHS Trust ,14,Cystoscopy,126,6,4,4.76
201912,Current Month,RN707,Darent Valley Hospital,RN7,Dartford and Gravesham NHS Trust ,2,Computed Tomography,391,0,0,0
201912,Current Month,RXR78,Blackburn Birthing Centre,RXR,East Lancashire Hospitals NHS Trust ,4,Barium Enema,0,0,0,0
201912,Current Month,RTK01,St Peter's Hospital,RTK,Ashford and St. Peter’s Hospitals NHS Foundation Trust ,6,Audiology - Audiology Assessments,170,0,0,0
201912,Current Month,RFFAA,Barnsley Hospital,RFF,Barnsley Hospital NHS Foundation Trust ,16,Total,3057,9,0,0.29
201912,Current Month,RHQWP,Weston Park Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust ,16,Total,9986,10,1,0.1
201912,Current Month,RJE08,Bradwell Hospital,RJE,University Hospitals of North Midlands NHS Trust ,3,Non-obstetric Ultrasound,3999,0,0,0
201912,Current Month,RWA18,East Riding Community Hospital,RWA,Hull University Teaching Hospitals NHS Trust ,4,Barium Enema,2,0,0,0
201912,Current Month,1-128767270,BMI The Shirley Oaks Hospital,NT436,BMI - Shirley Oaks Hospital ,12,Colonoscopy,0,0,0,0
201912,Current Month,RR807,Wharfedale Hospital,RR8,Leeds Teaching Hospitals NHS Trust ,16,Total,13911,121,11,0.87
201912,Current Month,RJ613,Purley War Memorial Hospital,RJ6,Croydon Health Services NHS Trust ,11,Urodynamics - Pressures & Flows,21,0,0,0
201912,Current Month,RXR20,Royal Blackburn Hospital,RXR,East Lancashire Hospitals NHS Trust ,11,Urodynamics - Pressures & Flows,34,0,0,0
201912,Current Month,1-153773510,The Nottingham Inhealth Specialist Imaging Centre (Nisic),NV1,InHealth Ltd ,12,Colonoscopy,799,34,0,4.26
201912,Current Month,R0A07,Wythenshawe Hospital,R0A,Manchester University NHS Foundation Trust ,7,Cardiology - Echocardiography,1450,3,0,0.21
201912,Current Month,RR802,Leeds Dental Institute,RR8,Leeds Teaching Hospitals NHS Trust ,1,Magnetic Resonance Imaging,2487,74,11,2.98
201912,Current Month,RNA01,Russells Hall Hospital,RNA,The Dudley Group NHS Foundation Trust ,3,Non-obstetric Ultrasound,2265,10,0,0.44
201912,Current Month,RPGXB,Forensic Community and Prison Services Teams,RPG,Oxleas NHS Foundation Trust ,16,Total,126,0,0,0
201912,Current Month,RX1RA,Queen's Medical Centre,RX1,Nottingham University Hospitals NHS Trust ,7,Cardiology - Echocardiography,806,0,0,0
201912,Current Month,RYJ02,Charing Cross Hospital,RYJ,Imperial College Healthcare NHS Trust ,16,Total,14073,236,12,1.68
201912,Current Month,RBZ83,Sidmouth Hospital,RBZ,Northern Devon Healthcare NHS Trust ,2,Computed Tomography,412,148,84,35.92
201912,Current Month,RJN63,Congleton War Memorial Hospital,RJN,East Cheshire NHS Trust ,3,Non-obstetric Ultrasound,554,0,0,0
201912,Current Month,RW602,North Manchester General Hospital,RW6,The Pennine Acute Hospitals NHS Trust ,4,Barium Enema,5,0,0,0
201912,Current Month,RQ8LJ,St Peter's Hospital,RQ8,Mid Essex Hospital Services NHS Trust ,10,Respiratory physiology - Sleep Studies,73,1,0,1.37
201912,Current Month,RTR03,East Cleveland Primary Care Hospital,RTR,South Tees Hospitals NHS Foundation Trust ,2,Computed Tomography,1242,2,1,0.16
201912,Current Month,1-128732982,Mount Stuart Hospital,NVC08,Mount Stuart Hospital ,1,Magnetic Resonance Imaging,0,0,0,0
201912,Current Month,R0B01,Sunderland Royal Hospital,R0B,South Tynside and Sunderland NHS Foundation Trust ,9,Neurophysiology - Peripheral Neurophysiology,132,0,0,0
201912,Current Month,RRF53,Wrightington Hospital,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust ",15,Gastroscopy,324,49,11,15.12
201912,Current Month,RYVA8,Dental Access Centre Peterborough,RYV,Cambridgeshire Community Services NHS Trust ,6,Audiology - Audiology Assessments,430,80,1,18.6
201912,Current Month,RF4QH,Queen's Hospital,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust ",1,Magnetic Resonance Imaging,2045,40,1,1.96
201912,Current Month,RWP50,Worcestershire Royal Hospital,RWP,Worcestershire Acute Hospitals NHS Trust ,6,Audiology - Audiology Assessments,367,2,0,0.54
201912,Current Month,RTE01,Cheltenham General Hospital,RTE,Gloucestershire Hospitals NHS Foundation Trust ,1,Magnetic Resonance Imaging,929,0,0,0
201912,Current Month,RXR78,Blackburn Birthing Centre,RXR,East Lancashire Hospitals NHS Trust ,9,Neurophysiology - Peripheral Neurophysiology,56,0,0,0
201912,Current Month,RFRPA,Rotherham General Hospital,RFR,The Rotherham NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,2,0,0,0
201912,Current Month,RJ122,St Thomas' Hospital,RJ1,Guy's and St Thomas' NHS Foundation Trust ,6,Audiology - Audiology Assessments,77,0,0,0
201912,Current Month,RXF10,Dewsbury and District Hospital,RXF,The Mid Yorkshire Hospitals NHS Trust ,12,Colonoscopy,514,0,0,0
201912,Current Month,RXPDA,Darlington Memorial Hospital,RXP,County Durham and Darlington NHS Foundation Trust ,11,Urodynamics - Pressures & Flows,13,0,0,0
201912,Current Month,RXWAT,The Princess Royal Hospital,RXW,Shrewsbury and Telford Hospital NHS Trust ,6,Audiology - Audiology Assessments,272,1,0,0.37
201912,Current Month,RALC7,Chase Farm Hospital,RAL,Royal Free London NHS Foundation Trust ,11,Urodynamics - Pressures & Flows,0,0,0,0
201912,Current Month,RP5BA,Bassetlaw District General Hospital,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust ,3,Non-obstetric Ultrasound,2905,20,0,0.69
201912,Current Month,RXG36,Enfield Down,RXG,South West Yorkshire Partnership NHS Foundation Trust ,16,Total,78,0,0,0
201912,Current Month,RBAC3,Bridgwater Community Hospital,RBA,Taunton and Somerset NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,50,20,3,40
201912,Current Month,RM3X2,Bolton Renal Satellite Unit,RM3,Salford Royal NHS Foundation Trust ,1,Magnetic Resonance Imaging,2072,37,1,1.79
201912,Current Month,RYJ04,Queen Charlottes and Chelsea Hospital,RYJ,Imperial College Healthcare NHS Trust ,8,Cardiology - Electrophysiology,18,1,1,5.56
201912,Current Month,RXQ02,Stoke Mandeville Hospital,RXQ,Buckinghamshire Healthcare NHS Trust ,12,Colonoscopy,288,25,0,8.68
201912,Current Month,RYJ07,Western Eye Hospital,RYJ,Imperial College Healthcare NHS Trust ,4,Barium Enema,90,0,0,0
201912,Current Month,RBT21,Victoria Infirmary,RBT,Mid Cheshire Hospitals NHS Foundation Trust ,1,Magnetic Resonance Imaging,1166,7,0,0.6
201912,Current Month,RVV09,Queen Elizabeth The Queen Mother Hospital,RVV,East Kent Hospitals University NHS Foundation Trust ,11,Urodynamics - Pressures & Flows,91,5,0,5.49
201912,Current Month,R1K68,Clayponds Hospital,R1K,London North West University Healthcare NHS Trust ,12,Colonoscopy,359,5,0,1.39
201912,Current Month,RA959,Teignmouth Hospital,RA9,Torbay and South Devon NHS Foundation Trust ,1,Magnetic Resonance Imaging,508,68,13,13.39
201912,Current Month,,,NFC01,The Outside Clinic HQ ,16,Total,181,0,0,0
201912,Current Month,R0A02,Manchester Royal Infirmary,R0A,Manchester University NHS Foundation Trust ,13,Flexi Sigmoidoscopy,398,2,1,0.5
201912,Current Month,RBZ98,Torrington Community Hospital,RBZ,Northern Devon Healthcare NHS Trust ,7,Cardiology - Echocardiography,360,47,14,13.06
201912,Current Month,RTFDH,Berwick Infirmary,RTF,Northumbria Healthcare NHS Foundation Trust ,15,Gastroscopy,365,2,0,0.55
201912,Current Month,RNNCB,Cockermouth Hospital,RNN,North Cumbria Integrated Care NHS Foundation Trust ,12,Colonoscopy,457,159,62,34.79
201912,Current Month,RWFTW,The Tunbridge Wells Hospital at Pembury,RWF,Maidstone and Tunbridge Wells NHS Trust ,14,Cystoscopy,49,7,5,14.29
201912,Current Month,RP604,Moorfields at St George's,RP6,Moorfields Eye Hospital NHS Foundation Trust ,16,Total,205,0,0,0
201912,Current Month,RWG02,Watford General Hospital,RWG,West Hertfordshire Hospitals NHS Trust ,1,Magnetic Resonance Imaging,1408,0,0,0
201912,Current Month,R1HM0,St Bartholomew's Hospital,R1H,Barts Health NHS Trust ,7,Cardiology - Echocardiography,2698,15,0,0.56
201912,Current Month,1-128733087,Renacres Hospital,NVC16,Renacres Hospital ,6,Audiology - Audiology Assessments,0,0,0,0
201912,Current Month,RTRAT,The James Cook University Hospital,RTR,South Tees Hospitals NHS Foundation Trust ,5,DEXA Scan,138,0,0,0
201912,Current Month,RWDLA,Pilgrim Hospital,RWD,United Lincolnshire Hospitals NHS Trust ,12,Colonoscopy,378,0,0,0
201912,Current Month,1-115574336,Nuffield Health Brentwood Hospital,NT204,"Nuffield Health, Brentwood Hospital ",3,Non-obstetric Ultrasound,12,0,0,0
201912,Current Month,R0A2Q,Altrincham General Hospital,R0A,Manchester University NHS Foundation Trust ,4,Barium Enema,11,0,0,0
201912,Current Month,RRF53,Wrightington Hospital,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust ",10,Respiratory physiology - Sleep Studies,0,0,0,0
201912,Current Month,RPGEQ,Hazelwood,RPG,Oxleas NHS Foundation Trust ,6,Audiology - Audiology Assessments,126,0,0,0
201912,Current Month,RWDAA,County Hospital Louth,RWD,United Lincolnshire Hospitals NHS Trust ,9,Neurophysiology - Peripheral Neurophysiology,184,75,4,40.76
201912,Current Month,RCB07,Selby War Memorial Hospital,RCB,York Teaching Hospital NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,12,0,0,0
201912,Current Month,RWWHG,Halton General Hospital,RWW,Warrington and Halton Hospitals NHS Foundation Trust ,3,Non-obstetric Ultrasound,2058,1,0,0.05
201912,Current Month,1-128733105,Rivers Hospital,NVC19,Rivers Hospital ,1,Magnetic Resonance Imaging,1,0,0,0
201912,Current Month,R0B01,Sunderland Royal Hospital,R0B,South Tynside and Sunderland NHS Foundation Trust ,12,Colonoscopy,385,5,0,1.3
201912,Current Month,RAL26,Barnet General Hospital,RAL,Royal Free London NHS Foundation Trust ,1,Magnetic Resonance Imaging,2440,15,0,0.61
201912,Current Month,RWDLB,Skegness & District Hospital,RWD,United Lincolnshire Hospitals NHS Trust ,6,Audiology - Audiology Assessments,251,6,0,2.39
201912,Current Month,RHQHH,Royal Hallamshire Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust ,14,Cystoscopy,148,0,0,0
201912,Current Month,RWH01,Lister Hospital,RWH,East and North Hertfordshire NHS Trust ,14,Cystoscopy,65,3,0,4.62
201912,Current Month,RH853,Tiverton District Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust ,3,Non-obstetric Ultrasound,1353,239,70,17.66
201912,Current Month,RWDAS,John Coupland Hospital,RWD,United Lincolnshire Hospitals NHS Trust ,14,Cystoscopy,176,70,40,39.77
201912,Current Month,RJ701,St George's Hospital (Tooting),RJ7,St George's University Hospitals NHS Foundation Trust ,13,Flexi Sigmoidoscopy,95,4,0,4.21
201912,Current Month,RW602,North Manchester General Hospital,RW6,The Pennine Acute Hospitals NHS Trust ,6,Audiology - Audiology Assessments,242,0,0,0
201912,Current Month,1-128766946,BMI The Lincoln Hospital,NT450,BMI The Lincoln Hospital ,1,Magnetic Resonance Imaging,3,0,0,0
201912,Current Month,RTFDX,Blyth Community Hospital,RTF,Northumbria Healthcare NHS Foundation Trust ,4,Barium Enema,4,0,0,0
201912,Current Month,RV332,South Kensington and Chelsea Mental Health Centre,RV3,Central and North West London NHS Foundation Trust ,16,Total,68,0,0,0
201912,Current Month,1-128767355,BMI St Edmunds Hospital,NT446,BMI St Edmunds Hospital ,3,Non-obstetric Ultrasound,3,0,0,0
201912,Current Month,RD115,Royal National Hospital for Rheumatic Diseases,RD1,Royal United Hospitals Bath NHS Foundation Trust ,9,Neurophysiology - Peripheral Neurophysiology,66,14,0,21.21
201912,Current Month,RDRLV,Lewes Victoria Hospital,RDR,Sussex Community NHS Foundation Trust ,3,Non-obstetric Ultrasound,615,53,0,8.62
201912,Current Month,RDU02,Farnham Hospital,RDU,Frimley Health NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,109,5,0,4.59
201912,Current Month,RWA24,Hornsea Cottage Hospital,RWA,Hull University Teaching Hospitals NHS Trust ,7,Cardiology - Echocardiography,508,7,0,1.38
201912,Current Month,RCBNH,Bridlington Hospital,RCB,York Teaching Hospital NHS Foundation Trust ,7,Cardiology - Echocardiography,588,231,1,39.29
201912,Current Month,RJN71,Macclesfield District General Hospital,RJN,East Cheshire NHS Trust ,12,Colonoscopy,213,7,2,3.29
201912,Current Month,RTR03,East Cleveland Primary Care Hospital,RTR,South Tees Hospitals NHS Foundation Trust ,3,Non-obstetric Ultrasound,2918,7,0,0.24
201912,Current Month,,,DK5,Cura Health Ltd ,5,DEXA Scan,50,0,0,0
201912,Current Month,,,NPG17,SpaMedica Preston ,3,Non-obstetric Ultrasound,0,0,0,0
201912,Current Month,RRF54,Thomas Linacre Centre,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust ",13,Flexi Sigmoidoscopy,85,3,0,3.53
201912,Current Month,RXH17,Hove Polyclinic,RXH,Brighton and Sussex University Hospitals NHS Trust ,13,Flexi Sigmoidoscopy,344,185,84,53.78
201912,Current Month,R0A05,Saint Mary's Hospital,R0A,Manchester University NHS Foundation Trust ,1,Magnetic Resonance Imaging,3921,150,26,3.83
201912,Current Month,R1H12,The Royal London Hospital,R1H,Barts Health NHS Trust ,16,Total,27105,381,18,1.41
201912,Current Month,RA954,Brixham Hospital,RA9,Torbay and South Devon NHS Foundation Trust ,3,Non-obstetric Ultrasound,562,4,0,0.71
201912,Current Month,RBZ98,Torrington Community Hospital,RBZ,Northern Devon Healthcare NHS Trust ,16,Total,2414,234,107,9.69
201912,Current Month,RRVRN,Royal National Throat Nose & Ear Hospital,RRV,University College London Hospitals NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,208,34,22,16.35
201912,Current Month,1-371543261,The White Rose Surgery,NEQ,Phoenix Health Solutions Ltd HQ ,3,Non-obstetric Ultrasound,26,0,0,0
201912,Current Month,RHQNG,Northern General Hospital,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust ,15,Gastroscopy,490,0,0,0
201912,Current Month,RJL31,Goole & District Hospital,RJL,Northern Lincolnshire and Goole NHS Foundation Trust ,1,Magnetic Resonance Imaging,4620,1314,19,28.44
201912,Current Month,RVR05,St Helier Hospital and Queen Mary's Hospital for Children,RVR,Epsom and St Helier University Hospitals NHS Trust ,3,Non-obstetric Ultrasound,4788,388,3,8.1
201912,Current Month,RAL01,The Royal Free Hospital,RAL,Royal Free London NHS Foundation Trust ,1,Magnetic Resonance Imaging,2440,15,0,0.61
201912,Current Month,RJ867,Stratton Hospital,RJ8,Cornwall Partnership NHS Foundation Trust ,16,Total,28,1,0,3.57
201912,Current Month,RMP01,Tameside General Hospital,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust ,16,Total,3066,1,0,0.03
201912,Current Month,RNQ51,Kettering General Hospital,RNQ,Kettering General Hospital NHS Foundation Trust ,2,Computed Tomography,759,0,0,0
201912,Current Month,RTK02,Ashford Hospital,RTK,Ashford and St. Peter’s Hospitals NHS Foundation Trust ,16,Total,6148,772,340,12.56
201912,Current Month,R0A02,Manchester Royal Infirmary,R0A,Manchester University NHS Foundation Trust ,2,Computed Tomography,2654,9,0,0.34
201912,Current Month,RR801,Leeds General Infirmary,RR8,Leeds Teaching Hospitals NHS Trust ,15,Gastroscopy,230,5,0,2.17
201912,Current Month,RH802,Royal Devon & Exeter Hospital (Heavitree),RH8,Royal Devon and Exeter NHS Foundation Trust ,7,Cardiology - Echocardiography,594,384,105,64.65
201912,Current Month,RWDLB,Skegness & District Hospital,RWD,United Lincolnshire Hospitals NHS Trust ,2,Computed Tomography,1200,2,0,0.17
201912,Current Month,RX1NL,Ropewalk House,RX1,Nottingham University Hospitals NHS Trust ,12,Colonoscopy,338,3,0,0.89
201912,Current Month,RDEE4,Colchester General Hospital,RDE,East Suffolk and North Essex NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,163,13,3,7.98
201912,Current Month,RTG50,Sir Robert Peel Community Hospital,RTG,University Hospitals of Derby and Burton NHS Foundation Trust ,16,Total,11082,303,31,2.73
201912,Current Month,RHW05,West Berkshire Community Hospital,RHW,Royal Berkshire NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,20,0,0,0
201912,Current Month,1-2416392686,The Nottingham Inhealth Specialist Imaging Centre,NV1,InHealth Ltd ,16,Total,10227,154,13,1.51
201912,Current Month,RFRPA,Rotherham General Hospital,RFR,The Rotherham NHS Foundation Trust ,7,Cardiology - Echocardiography,212,0,0,0
201912,Current Month,RH858,Exmouth Hospital,RH8,Royal Devon and Exeter NHS Foundation Trust ,9,Neurophysiology - Peripheral Neurophysiology,184,0,0,0
201912,Current Month,RJ231,Queen Elizabeth Hospital,RJ2,Lewisham and Greenwich NHS Trust ,14,Cystoscopy,9,0,0,0
201912,Current Month,RXR78,Blackburn Birthing Centre,RXR,East Lancashire Hospitals NHS Trust ,1,Magnetic Resonance Imaging,761,0,0,0
201912,Current Month,RBZ95,Bideford Community Hospital,RBZ,Northern Devon Healthcare NHS Trust ,6,Audiology - Audiology Assessments,219,1,0,0.46
201912,Current Month,RNNCB,Cockermouth Hospital,RNN,North Cumbria Integrated Care NHS Foundation Trust ,2,Computed Tomography,729,0,0,0
201912,Current Month,R1K68,Clayponds Hospital,R1K,London North West University Healthcare NHS Trust ,14,Cystoscopy,156,8,0,5.13
201912,Current Month,RFRPA,Rotherham General Hospital,RFR,The Rotherham NHS Foundation Trust ,1,Magnetic Resonance Imaging,336,0,0,0
201912,Current Month,RBL20,Clatterbridge Hospital,RBL,Wirral University Teaching Hospital NHS Foundation Trust ,7,Cardiology - Echocardiography,720,11,2,1.53
201912,Current Month,RDU02,Farnham Hospital,RDU,Frimley Health NHS Foundation Trust ,1,Magnetic Resonance Imaging,1820,0,0,0
201912,Current Month,RN541,Royal Hampshire County Hospital,RN5,Hampshire Hospitals NHS Foundation Trust ,14,Cystoscopy,117,15,6,12.82
201912,Current Month,RQXM1,Homerton University Hospital,RQX,Homerton University Hospital NHS Foundation Trust ,13,Flexi Sigmoidoscopy,173,0,0,0
201912,Current Month,RR807,Wharfedale Hospital,RR8,Leeds Teaching Hospitals NHS Trust ,9,Neurophysiology - Peripheral Neurophysiology,383,0,0,0
201912,Current Month,RW603,The Royal Oldham Hospital,RW6,The Pennine Acute Hospitals NHS Trust ,14,Cystoscopy,47,0,0,0
201912,Current Month,RCX70,The Queen Elizabeth Hospital,RCX,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust ,2,Computed Tomography,475,1,0,0.21
201912,Current Month,RHM04,Countess Mountbatten House,RHM,University Hospital Southampton NHS Foundation Trust ,4,Barium Enema,78,0,0,0
201912,Current Month,RM102,Norfolk and Norwich University Hospital,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,34,0,0,0
201912,Current Month,1-114621322,Fairfield Independent Hospital,NVG01,Fairfield Hospital ,13,Flexi Sigmoidoscopy,13,0,0,0
201912,Current Month,RAL01,The Royal Free Hospital,RAL,Royal Free London NHS Foundation Trust ,15,Gastroscopy,606,40,7,6.6
201912,Current Month,RJ122,St Thomas' Hospital,RJ1,Guy's and St Thomas' NHS Foundation Trust ,11,Urodynamics - Pressures & Flows,221,118,38,53.39
201912,Current Month,RPA02,Medway Maritime Hospital,RPA,Medway NHS Foundation Trust ,6,Audiology - Audiology Assessments,362,0,0,0
201912,Current Month,RXN01,Chorley and South Ribble Hospital,RXN,Lancashire Teaching Hospitals NHS Foundation Trust ,10,Respiratory physiology - Sleep Studies,3,0,0,0
201912,Current Month,RNNX1,Cumberland Infirmary,RNN,North Cumbria Integrated Care NHS Foundation Trust ,6,Audiology - Audiology Assessments,280,0,0,0
201912,Current Month,R0B0M,Shotley Bridge,R0B,South Tynside and Sunderland NHS Foundation Trust ,5,DEXA Scan,84,0,0,0
201912,Current Month,RM301,Salford Royal Hospital,RM3,Salford Royal NHS Foundation Trust ,6,Audiology - Audiology Assessments,977,18,0,1.84
201912,Current Month,RCF22,Airedale General Hospital,RCF,Airedale NHS Foundation Trust ,15,Gastroscopy,126,0,0,0
201912,Current Month,RVJ20,Frenchay Hospital,RVJ,North Bristol NHS Trust ,16,Total,11033,1386,147,12.56
201912,Current Month,RWEAE,Glenfield Hospital,RWE,University Hospitals of Leicester NHS Trust ,16,Total,16855,164,21,0.97
201912,Current Month,RL4TC,Cannock Chase Hospital,RL4,The Royal Wolverhampton NHS Trust ,5,DEXA Scan,279,0,0,0
201912,Current Month,RL402,The Phoenix Walk in Centre,RL4,The Royal Wolverhampton NHS Trust ,16,Total,7134,321,36,4.5
201912,Current Month,RM3X7,Heartly Green,RM3,Salford Royal NHS Foundation Trust ,12,Colonoscopy,274,36,6,13.14
201912,Current Month,RXQ50,Wycombe Hospital,RXQ,Buckinghamshire Healthcare NHS Trust ,14,Cystoscopy,176,0,0,0
