Year,Location ID,Location Name,PLACE Trust Code,Place Trust Name,Commissioning Region,Site Code,Site Name,Organisation Type,NHS or Independent,PLACE Site Type,% Cleanliness,% Food & Hydration,"% Privacy, Dignity & Wellbeing","% Condition, Appearance & Maintainance",% Dementia Domain,% Disability Domain,CLN Actual Score,CLN Max Score,Food Actual Score,Food Max Score,Org Food Actual Score,Org Food Max Score,Ward Food Actual Score,Ward Food Max Score,PDW Actual Score,PDW Max Score,CAM Actual Score,CAM Max Score,DEM Actual Score,DEM Max Score,DIS Actual Score,DIS Max Score
2018,1-115574557,Nuffield Health Ipswich Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT222,NUFFIELD HEALTH IPSWICH HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.92,93.76,93.75,92.55,79.07,82.31,552,558,152.24,162.37,105.62,112.81,46.62,49.56,60,64,298,322,151.08,191.08,125.59,152.59
2018,1-115574597,Nuffield Health Leicester Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT226,NUFFIELD HEALTH LEICESTER HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.38,93.95,92.86,94.96,95.98,97.21,425,432,209.15,222.62,107.01,116.59,102.14,106.03,78,84,245,258,190.86,198.86,165.61,170.37
2018,1-115574618,Nuffield Health Newcastle-upon-Tyne Hospital ,NT2,NUFFIELD HEALTH,NORTH OF ENGLAND,NT229,NUFFIELD HEALTH NEWCASTLE -UPON-TYNE HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.96,98.46,86.11,94.64,76.34,82.5,857,866,225.11,228.62,111.29,114.81,113.82,113.82,62,72,424,448,129.08,169.08,122.59,148.59
2018,1-115574639,Nuffield Health North Staffordshire Hospital ,NT2,NUFFIELD HEALTH,NORTH OF ENGLAND,NT230,NUFFIELD HEALTH NORTH STAFFORDSHIRE HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.88,95.51,81.94,95.59,79.69,92.09,865,866,197.76,207.06,107.51,112.81,90.25,94.25,59,72,390,408,182.56,229.08,171.83,186.59
2018,1-115574658,Nuffield Health Plymouth Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT233,NUFFIELD HEALTH PLYMOUTH HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,93.33,85.74,83.34,89.43,74.29,74.57,364,390,197.54,230.4,105.51,110.81,92.03,119.6,46.67,56,220,246,128.58,173.08,106.33,142.59
2018,1-115574678,Nuffield Health Shrewsbury Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT235,NUFFIELD HEALTH SHREWSBURY HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.47,93.85,71.21,85.54,69.28,82.36,748,752,221.65,236.18,109.89,118.59,111.76,117.6,47,66,207,242,146.08,210.86,132.08,160.37
2018,1-115574698,Nuffield Health Taunton Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT238,NUFFIELD HEALTH TAUNTON HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.48,90.98,93.06,96.3,82.59,92.28,711,722,151.57,166.59,89.39,101.46,62.18,65.13,67,72,364,378,111.56,135.08,133.43,144.59
2018,1-115574718,Nuffield Health Tees Hospital ,NT2,NUFFIELD HEALTH,NORTH OF ENGLAND,NT237,NUFFIELD HEALTH TEES HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.82,97.78,92.31,96.56,89.4,90.47,559,560,187.24,191.5,112.05,112.81,75.19,78.69,48,52,253,262,147.58,165.08,116.33,128.59
2018,1-115574737,Nuffield Health The Grosvenor Hospital Chester ,NT2,NUFFIELD HEALTH,NORTH OF ENGLAND,NT210,NUFFIELD HEALTH GROSVENER HOSPITAL (CHESTER),INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,99.64,90.36,73.75,94.48,76.69,80.53,546,548,178.46,197.5,94.55,103.24,83.92,94.25,59,80,274,290,155.58,202.86,135.58,168.37
2018,1-115574757,Nuffield Health The Manor Hospital Oxford ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT244,NUFFIELD HEALTH MANOR HOSPITAL  (OXFORD),INDEPENDENT SECTOR,IND,Acute/Specialist,93.08,94.18,82.22,88.89,63.73,74.25,471,506,207.98,220.84,107.78,114.81,100.2,106.03,74,90,320,360,137.08,215.08,134.08,180.59
2018,1-115574778,Nuffield Health Tunbridge Wells Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT239,NUFFIELD HEALTH TUNBRIDGE WELLS HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.83,90.84,93.18,95.59,83.85,90.71,759,768,276.55,304.44,96.48,112.81,180.07,191.63,82,88,434,454,210.54,251.08,178.32,196.59
2018,1-115574798,Nuffield Health Warwickshire Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT224,NUFFIELD HEALTH WARWICKSHIRE HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,96.76,96.7,96.43,93.01,93.65,97.17,538,556,211.41,218.62,111.32,114.59,100.09,104.03,81,84,266,286,191.86,204.86,163.61,168.37
2018,1-115574818,Nuffield Health Wessex Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT214,NUFFIELD HEALTH WESSEX HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.9,97.04,83.33,95.28,77.44,86.13,360,364,204.82,211.06,107.51,112.81,97.31,98.25,40,48,242,254,126.29,163.08,122.81,142.59
2018,1-115574838,Nuffield Health Woking Hospital ,NT2,NUFFIELD HEALTH,SOUTH OF ENGLAND,NT241,NUFFIELD HEALTH WOKING HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.62,92.96,83.33,92.33,78.7,86.08,520,522,172.45,185.5,108.37,114.59,64.07,70.91,50,60,277,300,143.91,182.86,131.16,152.37
2018,1-115574857,Nuffield Health Wolverhampton Hospital ,NT2,NUFFIELD HEALTH,MIDLANDS AND EAST OF ENGLAND,NT242,NUFFIELD HEALTH WOLVERHAMPTON HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,91.9,86.14,73.91,86.36,60.36,66.64,329,358,128,148.59,97.5,114.59,30.5,34,34,46,228,264,111.58,184.86,104.2,156.37
2018,1-115574877,Nuffield Health York Hospital ,NT2,NUFFIELD HEALTH,NORTH OF ENGLAND,NT245,NUFFIELD HEALTH YORK HOSPITAL,INDEPENDENT SECTOR,IND,Other inpatient,98.99,88.65,75,92.05,81.69,81.16,392,396,195.97,221.06,89.82,101.46,106.14,119.6,42,56,243,264,149.56,183.08,120.59,148.59
2018,1-117350917,Royal Hospital for Neuro-Disability ,NN1,ROYAL HOSPITAL NEURO-DISABILITY,LONDON,NN101,ROYAL HOSPITAL NEURO-DISABILITY,INDEPENDENT SECTOR,IND,Other inpatient,100,94.58,95.28,99.51,0,97.01,3196,3196,267.92,283.28,94.22,105.24,173.7,178.03,303,318,1425,1432,0,0,227.36,234.37
2018,1-118593281,Tetbury Hospital ,AAH,TETBURY HOSPITAL TRUST,SOUTH OF ENGLAND,AAH01,TETBURY HOSPITAL,INDEPENDENT SECTOR,IND,Community,98.12,0,75,95.53,82,86.3,365,372,0,0,0,0,0,0,66,88,235,246,164,200,126,146
2018,1-118822952,Spencer Private Hospital ,NN8,EAST KENT MEDICAL SERVICES,SOUTH OF ENGLAND,NN801,THE SPENCER PRIVATE HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,100,96.15,100,0,100,556,556,572.79,572.79,116.59,116.59,456.2,456.2,50,52,320,320,0,0,106.37,106.37
2018,1-119269999,Circle Hospital (Bath) Ltd ,NV3,Circle Health Limited,SOUTH OF ENGLAND,NV302,CIRCLE HOSPITAL (BATH) LTD,INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,100,92.33,95.12,94.71,79.68,78.57,866,866,139.45,151.03,95.67,107.24,43.78,43.78,78,82,430,454,190.32,238.86,144.86,184.37
2018,1-120632398,Midland Eye ,NYW,ASPEN HEALTHCARE LIMITED,MIDLANDS AND EAST OF ENGLAND,NYW17,THE MIDLAND EYE,INDEPENDENT SECTOR,IND,Treatment Centre without in-patient facilities,96.23,0,70,98.75,86.96,91.3,102,106,0,0,0,0,0,0,14,20,79,80,40,46,42,46
2018,1-126280639,Frenchay Brain Injury Rehabilitation Centre ,NV2,THE HUNTERCOMBE GROUP,SOUTH OF ENGLAND,NV206,FRENCHAY BRAIN INJURY REHABILITATION CENTRE,INDEPENDENT SECTOR,IND,Mixed Service,100,84.45,100,98.89,96.63,94.85,748,748,269.78,319.45,88.48,118.39,181.3,201.06,76,76,356,360,83.69,86.61,138.57,146.1
2018,1-1285831303,KIMS Hospital ,ADP,KENT INSTITUTE OF MEDICINE AND SURGERY,SOUTH OF ENGLAND,ADP02,KIMS HOSPITAL,INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,99.82,81.31,86.46,97.99,88.89,87.55,1084,1086,127.5,156.81,79.93,107.24,47.56,49.56,124.5,144,684,698,162.54,182.86,205.18,234.37
2018,1-128732707,Duchy Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC04,DUCHY HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.46,98.8,94.83,96.32,86.22,87.87,555,558,185.46,187.71,112.05,112.81,73.41,74.91,55,58,314,326,159.58,185.08,132.33,150.59
2018,1-128732725,Euxton Hall Hospital ,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC05,EUXTON HALL HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,94.39,82.81,93.25,73.61,83.05,644,644,234.06,247.97,108.18,118.59,125.88,129.38,53,64,304,326,162.58,220.86,144.82,174.37
2018,1-128732743,Fitzwilliam Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC06,FITZWILLIAM HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.82,98.67,91.67,99.68,0,96.37,557,558,181.27,183.71,116.59,116.59,64.68,67.13,44,48,313,314,0,0,92.87,96.37
2018,1-128732777,Blakelands Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC31,BLAKELANDS HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.72,0,62.5,90.37,72.37,78.85,308,312,0,0,0,0,0,0,40,64,197,218,110,152,82,104
2018,1-128732808,Boston West Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC27,BOSTON TREATMENT CENTRE,INDEPENDENT SECTOR,IND,Treatment Centre without in-patient facilities,100,0,77.27,94.58,86.36,84.09,308,308,0,0,0,0,0,0,34,44,157,166,114,132,74,88
2018,1-128732823,Cobalt Hospital ,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC29,COBALT HOSPITAL,INDEPENDENT SECTOR,IND,Treatment Centre without in-patient facilities,99.09,0,66.67,93.33,73.24,77.55,327,330,0,0,0,0,0,0,28,42,196,210,104,142,76,98
2018,1-128732838,Horton Treatment Centre ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC25,HORTON TREATMENT CENTRE,INDEPENDENT SECTOR,IND,Acute/Specialist,97.72,94.19,85.07,94.54,91.83,92.01,557,570,198.79,211.06,102.54,112.81,96.25,98.25,90.17,106,346,366,278.32,303.08,210.32,228.59
2018,1-128732869,Tees Valley Treatment Centre,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC35,TEES VALLEY TREATMENT CENTRE,INDEPENDENT SECTOR,IND,Acute/Specialist,100,90.16,66.67,97.04,66.91,74.57,474,474,165.64,183.71,101.23,114.81,64.41,68.91,44,66,328,338,111.79,167.08,113.79,152.59
2018,1-128732946,Fulwood Hall Hospital ,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC07,FULWOOD HALL HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,95.4,95.12,97.66,85.2,91.76,632,632,333.06,349.13,109.69,118.59,223.37,230.54,78,82,334,342,191.58,224.86,156.33,170.37
2018,1-128732964,Rowley Hall Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC17,ROWLEY HALL HOSPITAL,INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,100,96.3,75.76,95.55,0,85.71,412,412,184.62,191.71,99.65,103.24,84.97,88.47,50,66,279,292,0,0,106.6,124.37
2018,1-128732982,Mount Stuart Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC08,MOUNT STUART HOSPITAL,INDEPENDENT SECTOR,IND,Other inpatient,99.03,90.81,88,92.55,69.86,83.25,410,414,152.89,168.37,98.71,105.24,54.18,63.13,44,50,261,282,85.83,122.86,116.86,140.37
2018,1-128732997,New Hall Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC09,NEW HALL HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.15,93.05,88.24,93.52,91.23,93.83,698,704,178.19,191.5,112.18,118.59,66.02,72.91,90,102,361,386,228.86,250.86,182.37,194.37
2018,1-128733015,North Downs Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC11,NORTH DOWNS HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,83.58,64.71,91.88,56.2,68.83,442,442,142.21,170.15,96.65,118.59,45.56,51.56,22,34,215,234,33.08,58.86,69.08,100.37
2018,1-128733032,Oaklands Hospital ,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC12,OAKLANDS HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,91.81,78.85,94.48,72.96,80.35,508,508,231.13,251.75,105.47,118.59,125.66,133.16,41,52,308,326,127.58,174.86,120.82,150.37
2018,1-128733050,Oaks Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC13,OAKS HOSPITAL,INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,99.59,89.2,79.76,94.03,79.27,78.49,486,488,171,191.71,94.03,105.24,76.97,86.47,67,84,252,268,143.36,180.86,119.6,152.37
2018,1-128733068,Pinehill Hospital ,NVC,RAMSAY HEALTH CARE UK,LONDON,NVC15,PINEHILL HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.39,92.08,88.89,91.12,81.01,89.48,551,560,183.49,199.28,114.8,118.59,68.69,80.69,64,72,308,338,157.86,194.86,148.86,166.37
2018,1-128733087,Renacres Hospital ,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC16,RENACRES HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,91.91,96.43,96.38,82.7,86.35,548,548,199.29,216.84,97.26,112.81,102.03,104.03,54,56,266,276,144.79,175.08,128.31,148.59
2018,1-128733105,Rivers Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC19,RIVERS HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,96.23,83.64,96.05,82.46,79.9,866,866,213.15,221.5,106.24,114.59,106.91,106.91,92,110,438,456,206.86,250.86,152.1,190.37
2018,1-128733123,Springfield Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC18,SPRINGFIELD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,94.37,93.99,90.67,91.24,75.9,79.34,821,870,198.38,211.06,101.63,112.81,96.75,98.25,136,150,458,502,271.04,357.08,203.58,256.59
2018,1-128733141,The Berkshire Independent Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC02,BERKSHIRE INDEPENDENT HOSPITAL,INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,100,95.17,100,98.18,92.82,89.93,480,480,210.38,221.06,98.07,107.24,112.32,113.82,66,66,269,274,171.58,184.86,138.82,154.37
2018,1-128733159,The Yorkshire Clinic ,NVC,RAMSAY HEALTH CARE UK,NORTH OF ENGLAND,NVC20,THE YORKSHIRE CLINIC,INDEPENDENT SECTOR,IND,Acute/Specialist,99.61,98.67,95.5,99.65,97.15,94.43,1522,1528,280.18,283.97,114.81,118.59,165.38,165.38,212,222,853,856,544.86,560.86,419.61,444.37
2018,1-128733177,West Midlands Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC21,WEST MIDLANDS HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,97.52,93.7,71.79,90.16,46.59,53.8,550,564,141.1,150.59,109.1,116.59,32,34,56,78,330,366,130.86,280.86,122.86,228.37
2018,1-128733195,Winfield Hospital ,NVC,RAMSAY HEALTH CARE UK,SOUTH OF ENGLAND,NVC22,WINFIELD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,86.23,81.25,94.75,76.59,75.36,560,560,128.13,148.59,95.63,114.59,32.5,34,52,64,307,324,141.58,184.86,114.82,152.37
2018,1-128733213,Woodland Hospital ,NVC,RAMSAY HEALTH CARE UK,MIDLANDS AND EAST OF ENGLAND,NVC23,WOODLAND HOSPITAL,INDEPENDENT SECTOR,IND,Treatment Centre with in-patient facilities,100,93.32,97.5,96.23,0,85.57,866,866,189.9,203.5,98.48,107.24,91.42,96.25,78,80,460,478,0,0,121.83,142.37
2018,1-128758255,BMI Bath Clinic ,NT4,BMI HEALTHCARE,SOUTH OF ENGLAND,NT402,BMI BATH CLINIC,INDEPENDENT SECTOR,IND,Acute/Specialist,99.28,94.72,88.89,97.3,84.09,90.35,411,414,192.54,203.28,108.02,112.81,84.53,90.47,64,72,288,296,169.08,201.08,152.32,168.59
2018,1-128758337,BMI Bishops Wood Hospital ,NT4,BMI HEALTHCARE,LONDON,NT405,BMI BISHOPS WOOD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,97.92,92.91,78.41,90.61,78.41,76.04,848,866,197.74,212.84,104.49,116.59,93.25,96.25,69,88,415,458,66.54,84.86,103.7,136.37
2018,1-128758401,BMI Chelsfield Park Hospital ,NT4,BMI HEALTHCARE,LONDON,NT409,BMI CHELSFIELD PARK HOSPITAL,INDEPENDENT SECTOR,IND,Mixed Service,100,89.78,68,95,69.52,83.81,534,534,309.35,344.58,86.44,114.68,222.9,229.9,68,100,361,380,202.24,290.9,196.44,234.39
2018,1-128758442,BMI Coombe Wing ,NT4,BMI HEALTHCARE,LONDON,NT494,BMI COOMBE WING,INDEPENDENT SECTOR,IND,Acute/Specialist,100,95.37,91.66,100,91.99,99.37,404,404,254.94,267.31,113.94,116.59,141,150.72,29.33,32,194,194,114.86,124.86,119.61,120.37
2018,1-128758464,BMI The Edgbaston Hospital ,NT4,BMI HEALTHCARE,MIDLANDS AND EAST OF ENGLAND,NT445,BMI EDGBASTON HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,100,94.01,92.42,100,0,96.94,560,560,267.81,284.87,116.59,116.59,151.22,168.29,61,66,330,330,0,0,110.87,114.37
2018,1-128758484,BMI The Esperance Hospital ,NT4,BMI HEALTHCARE,SOUTH OF ENGLAND,NT413,BMI ESPERANCE HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.94,92.13,89.05,94.59,78.33,66.3,1691,1692,204.9,222.4,106.58,114.59,98.32,107.82,187,210,804,850,110.34,140.86,156.71,236.37
2018,1-128758505,BMI The Beardwood Hospital ,NT4,BMI HEALTHCARE,NORTH OF ENGLAND,NT403,BMI BEARDWOOD HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.82,97.56,93.1,91.53,90.42,86.41,559,560,169.68,173.93,115.83,116.59,53.84,57.34,54,58,227,248,103.86,114.86,116.11,134.37
2018,1-128758526,BMI The Beaumont Hospital ,NT4,BMI HEALTHCARE,NORTH OF ENGLAND,NT404,BMI BEAUMONT HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.85,88.49,85.56,95.56,74.7,87.04,669,670,153.91,173.93,102.07,116.59,51.84,57.34,77,90,344,360,176.93,236.86,162.22,186.37
2018,1-128758547,BMI The Blackheath Hospital ,NT4,BMI HEALTHCARE,LONDON,NT406,BMI BLACKHEATH HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,98.1,98.4,77.36,92.05,67.09,74.25,928,946,194.13,197.28,110.05,110.81,84.08,86.47,82,106,486,528,188.58,281.08,159.33,214.59
2018,1-128758569,BMI The Alexandra Hospital ,NT4,BMI HEALTHCARE,NORTH OF ENGLAND,NT401,BMI ALEXANDRA HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,99.81,92.18,87.5,96.37,86.38,86.47,1565,1568,251.1,272.4,93.51,114.81,157.6,157.6,154,176,663,688,108.05,125.08,195.94,226.59
2018,1-128758601,BMI The Cavell Hospital ,NT4,BMI HEALTHCARE,LONDON,NT451,BMI THE CAVELL HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,97.99,96.22,78.5,90.7,79.57,79.03,390,398,197.53,205.28,108,114.81,89.53,90.47,48.67,62,234,258,144.08,181.08,120.59,152.59
2018,1-128758622,BMI The Chiltern Hospital ,NT4,BMI HEALTHCARE,SOUTH OF ENGLAND,NT410,BMI CHILTERN HOSPITAL,INDEPENDENT SECTOR,IND,Acute/Specialist,97.97,97.02,87.21,93.39,71.94,80.6,819,836,233.02,240.18,108.65,112.81,124.38,127.38,75,86,424,454,170.56,237.08,156.83,194.59
